epoch,step,train_explained_var_uniform_epoch,train_explained_var_uniform_step,train_explained_var_weighted_epoch,train_explained_var_weighted_step,train_loss_epoch,train_loss_step,train_mse_epoch,train_mse_step,val_explained_var_uniform,val_explained_var_weighted,val_loss,val_mse
0,49,,0.20866666734218597,,-8.050946576076967e-09,,0.04273677617311478,,0.2119988650083542,,,,
0,99,,0.19366666674613953,,9.793673427793692e-09,,0.04194840416312218,,0.21058911085128784,,,,
0,149,,0.20766626298427582,,-2.4800522169243777e-06,,0.04214777424931526,,0.2108629196882248,,,,
0,199,,0.19366666674613953,,-2.5442965068123158e-08,,0.04236696660518646,,0.21056805551052094,,,,
0,249,,0.19166666269302368,,-8.523166172835772e-09,,0.04234430938959122,,0.21030744910240173,,,,
0,299,,0.20833370089530945,,1.2473815331759397e-06,,0.04228644818067551,,0.20986463129520416,,,,
0,306,,,,,,,,,0.20644181966781616,-5.34207789115726e-09,0.042269591242074966,0.21176540851593018
0,306,0.19496028125286102,,-0.0002609885123092681,,0.0426098071038723,,0.2130468636751175,,,,,
1,349,,0.2199999988079071,,-4.746965487356647e-08,,0.04214837774634361,,0.21138088405132294,,,,
1,399,,0.19366666674613953,,2.2894532492045983e-08,,0.043205760419368744,,0.2141156792640686,,,,
1,449,,0.21033333241939545,,1.1371737329568532e-08,,0.04256254434585571,,0.21240876615047455,,,,
1,499,,0.195333331823349,,-4.0810817836245405e-08,,0.042289815843105316,,0.21207474172115326,,,,
1,549,,0.21433332562446594,,3.057531472450137e-08,,0.04237855598330498,,0.21232211589813232,,,,
1,599,,0.20766666531562805,,-1.0702140507135027e-08,,0.04216472804546356,,0.21051225066184998,,,,
1,613,,,,,,,,,0.20644181966781616,-5.3119064702400465e-09,0.042401496320962906,0.21190916001796722
1,613,0.2061985284090042,,-9.097210806885414e-08,,0.04233047366142273,,0.2116708606481552,,,,,
2,649,,0.20866666734218597,,-3.966837169855353e-08,,0.04197956621646881,,0.21236130595207214,,,,
2,699,,0.21066667139530182,,4.5025622341654525e-08,,0.04303174838423729,,0.21430407464504242,,,,
2,749,,0.19599999487400055,,-2.2302543811747455e-08,,0.04219067469239235,,0.21047203242778778,,,,
2,799,,0.18066667020320892,,8.689490016422496e-09,,0.04215017706155777,,0.21148547530174255,,,,
2,849,,0.09333333373069763,,1.4095665967772675e-08,,0.04282337427139282,,0.2132149189710617,,,,
2,899,,1.4821687877031309e-08,,5.286112880753535e-08,,0.042539212852716446,,0.2113061249256134,,,,
2,920,,,,,,,,,2.2720314518664964e-09,7.993915751569602e-09,0.042421746999025345,0.21222151815891266
2,920,0.14553217589855194,,-2.872309778467752e-06,,0.0424136146903038,,0.21204346418380737,,,,,
3,949,,0.21128760278224945,,-0.006030937656760216,,0.04296475276350975,,0.21417692303657532,,,,
3,999,,0.19562508165836334,,-0.000765085278544575,,0.04349598288536072,,0.21620076894760132,,,,
3,1049,,0.20614272356033325,,-0.001092146267183125,,0.04313581436872482,,0.2165842056274414,,,,
3,1099,,0.19873425364494324,,-0.0005847939755767584,,0.042867422103881836,,0.21366463601589203,,,,
