epoch,step,train_explained_var_uniform_epoch,train_explained_var_uniform_step,train_explained_var_weighted_epoch,train_explained_var_weighted_step,train_loss_epoch,train_loss_step,train_mse_epoch,train_mse_step,val_explained_var_uniform,val_explained_var_weighted,val_loss,val_mse
0,49,,0.00258938642218709,,0.05901305004954338,,0.09494657069444656,,0.18917059898376465,,,,
0,99,,0.027121176943182945,,0.11798420548439026,,0.08988460153341293,,0.17959415912628174,,,,
0,149,,0.04578071087598801,,0.1365375518798828,,0.08835839480161667,,0.17639176547527313,,,,
0,199,,0.052789218723773956,,0.14813609421253204,,0.0882878229022026,,0.1758030652999878,,,,
0,249,,0.06274984031915665,,0.1503940224647522,,0.08753437548875809,,0.17487885057926178,,,,
0,299,,0.0717264711856842,,0.15588989853858948,,0.08757029473781586,,0.1751534640789032,,,,
0,306,,,,,,,,,0.07153712213039398,0.16056612133979797,0.08743254840373993,0.17437627911567688
0,306,0.02168981544673443,,0.11489588767290115,,0.0923120304942131,,0.1843595951795578,,,,,
1,349,,0.07021407783031464,,0.15401770174503326,,0.08687035739421844,,0.17279838025569916,,,,
1,399,,0.06422163546085358,,0.15776902437210083,,0.08714181184768677,,0.1734478920698166,,,,
1,449,,0.07009288668632507,,0.15951228141784668,,0.08728142082691193,,0.1739901602268219,,,,
1,499,,0.07614894211292267,,0.16256695985794067,,0.08631803095340729,,0.17261943221092224,,,,
1,549,,0.07182805240154266,,0.16194507479667664,,0.08722562342882156,,0.1737552136182785,,,,
1,599,,0.08322437852621078,,0.16621655225753784,,0.08733925223350525,,0.1739731878042221,,,,
1,613,,,,,,,,,0.07891735434532166,0.16820774972438812,0.08685962110757828,0.1732432246208191
1,613,0.06864701211452484,,0.1600870043039322,,0.08739972114562988,,0.17433173954486847,,,,,
2,649,,0.07573855668306351,,0.16655099391937256,,0.0874742642045021,,0.17404122650623322,,,,
2,699,,0.07965932041406631,,0.16552966833114624,,0.08662080764770508,,0.17303574085235596,,,,
2,749,,0.07401571422815323,,0.1644151508808136,,0.08744996041059494,,0.17429769039154053,,,,
2,799,,0.07904212176799774,,0.1662643551826477,,0.08662886172533035,,0.17317907512187958,,,,
2,849,,0.07386195659637451,,0.16629567742347717,,0.08652382344007492,,0.17264433205127716,,,,
2,899,,0.08290547877550125,,0.16885994374752045,,0.08656865358352661,,0.17216011881828308,,,,
2,920,,,,,,,,,0.08363137394189835,0.1724541038274765,0.0867176428437233,0.1728103905916214
2,920,0.07626815140247345,,0.16669732332229614,,0.08702640235424042,,0.17347434163093567,,,,,
3,949,,0.07825560122728348,,0.1678732931613922,,0.08685266971588135,,0.1725320667028427,,,,
3,999,,0.08121306449174881,,0.1653965711593628,,0.08714289218187332,,0.17372463643550873,,,,
3,1049,,0.07659399509429932,,0.17245832085609436,,0.08790508657693863,,0.1746528595685959,,,,
3,1099,,0.08051083981990814,,0.16688795387744904,,0.08666731417179108,,0.17296159267425537,,,,
3,1149,,0.08642397075891495,,0.17504075169563293,,0.08746461570262909,,0.17420408129692078,,,,
3,1199,,0.038782816380262375,,0.16708575189113617,,0.0862196832895279,,0.17162488400936127,,,,
3,1227,,,,,,,,,0.0871368870139122,0.1769208312034607,0.08654413372278214,0.17244143784046173
3,1227,0.07913065701723099,,0.16973254084587097,,0.08688238263130188,,0.17308524250984192,,,,,
4,1249,,0.0808647871017456,,0.17094947397708893,,0.0869600847363472,,0.17323243618011475,,,,
4,1299,,0.07632642239332199,,0.1696801781654358,,0.08593365550041199,,0.1711796522140503,,,,
4,1349,,0.08465220779180527,,0.16935622692108154,,0.08718980103731155,,0.17271383106708527,,,,
4,1399,,0.08507180958986282,,0.172991082072258,,0.08626899868249893,,0.17235811054706573,,,,
4,1449,,0.07508639246225357,,0.17149454355239868,,0.08681022375822067,,0.1737457811832428,,,,
4,1499,,0.08850988745689392,,0.1764899492263794,,0.08689696341753006,,0.17304493486881256,,,,
4,1534,,,,,,,,,0.08800086379051208,0.17773602902889252,0.08650380373001099,0.17218180000782013
4,1534,0.08141852170228958,,0.17213088274002075,,0.08673059195280075,,0.17278580367565155,,,,,
5,1549,,0.08428861200809479,,0.1770133674144745,,0.08687429875135422,,0.17302575707435608,,,,
5,1599,,0.0806942880153656,,0.17472080886363983,,0.08601806312799454,,0.17135295271873474,,,,
5,1649,,0.08714345097541809,,0.17228880524635315,,0.08596935868263245,,0.17039677500724792,,,,
5,1699,,0.08027993887662888,,0.16993364691734314,,0.08708653599023819,,0.17315228283405304,,,,
5,1749,,0.09114819020032883,,0.17646527290344238,,0.0867709070444107,,0.17265665531158447,,,,
5,1799,,0.0817592591047287,,0.17816245555877686,,0.08724702894687653,,0.1734658032655716,,,,
5,1841,,,,,,,,,0.0906406044960022,0.17754340171813965,0.08641355484724045,0.1719881147146225
5,1841,0.08319976180791855,,0.17400915920734406,,0.08669134974479675,,0.17253275215625763,,,,,
6,1849,,0.07846224308013916,,0.1740695685148239,,0.08733469247817993,,0.17415829002857208,,,,
6,1899,,0.08530066907405853,,0.17659586668014526,,0.08670607209205627,,0.17261946201324463,,,,
6,1949,,0.08370169252157211,,0.17588947713375092,,0.08712509274482727,,0.17250388860702515,,,,
6,1999,,0.08054456859827042,,0.17371168732643127,,0.08716709166765213,,0.17275846004486084,,,,
6,2049,,0.0877445861697197,,0.17717541754245758,,0.08642203360795975,,0.1721510887145996,,,,
6,2099,,0.0841837227344513,,0.17305801808834076,,0.08691922575235367,,0.17271184921264648,,,,
6,2148,,,,,,,,,0.08907940238714218,0.17767034471035004,0.08631905168294907,0.17186126112937927
6,2148,0.08334579318761826,,0.1749897599220276,,0.08660338819026947,,0.17240184545516968,,,,,
7,2149,,0.08476719260215759,,0.1730462610721588,,0.0858439952135086,,0.17087261378765106,,,,
